Cluster,Centroid,Avg_Distance_miles,Start_Lat,Start_Lng
33,"(np.float64(33.2642945566841), np.float64(-80.57255833224478))",0.6422232367841341,33.2642945566841,-80.57255833224478
34,"(np.float64(34.22404332683644), np.float64(-80.69279902854002))",2.173338926628057,34.22404332683644,-80.69279902854002
35,"(np.float64(33.6476445), np.float64(-80.911955))",0.05555183287894701,33.6476445,-80.911955
36,"(np.float64(34.51781167228661), np.float64(-81.90250952538472))",0.3072351307753846,34.51781167228661,-81.90250952538472
37,"(np.float64(34.55333096127473), np.float64(-81.94675332069441))",0.03127913771196809,34.55333096127473,-81.94675332069441
38,"(np.float64(34.01553590909091), np.float64(-81.40720509090907))",0.6024702216693097,34.01553590909091,-81.40720509090907
39,"(np.float64(34.4501145), np.float64(-79.419351))",0.04525968891939764,34.4501145,-79.419351
40,"(np.float64(34.188962200000006), np.float64(-82.2724246))",0.1486120143590876,34.188962200000006,-82.2724246
41,"(np.float64(35.124562), np.float64(-82.029090375))",0.131393429087657,35.124562,-82.029090375
42,"(np.float64(33.683871429125446), np.float64(-78.98590978737887))",4.632581759933101,33.683871429125446,-78.98590978737887
43,"(np.float64(34.050107), np.float64(-79.72742737499998))",0.20086013748288287,34.050107,-79.72742737499998
44,"(np.float64(32.4147164084507), np.float64(-80.64609657042254))",0.7067238461024156,32.4147164084507,-80.64609657042254
45,"(np.float64(33.942507722210664), np.float64(-80.69066200165298))",0.18733872276064265,33.942507722210664,-80.69066200165298
46,"(np.float64(34.67100000000001), np.float64(-82.1090815))",0.15930254688499157,34.67100000000001,-82.1090815
47,"(np.float64(34.27812612500001), np.float64(-82.13057675))",0.23958372501107256,34.27812612500001,-82.13057675
48,"(np.float64(34.55420766666666), np.float64(-82.32014766666668))",0.00044992003622169424,34.55420766666666,-82.32014766666668
49,"(np.float64(34.61095178000001), np.float64(-82.505368))",0.7044095628371643,34.61095178000001,-82.505368
50,"(np.float64(33.70815249036236), np.float64(-80.24362809717815))",0.5231246228731224,33.70815249036236,-80.24362809717815
51,"(np.float64(33.91568685714286), np.float64(-80.29412728571428))",0.1369259335130543,33.91568685714286,-80.29412728571428
52,"(np.float64(34.0848763382351), np.float64(-81.22447191143428))",0.6581459418752486,34.0848763382351,-81.22447191143428
53,"(np.float64(34.877231760834114), np.float64(-82.69220813393231))",1.392911811271507,34.877231760834114,-82.69220813393231
54,"(np.float64(35.021783203703706), np.float64(-82.42007546296294))",0.7893072940230544,35.021783203703706,-82.42007546296294
55,"(np.float64(34.499937798192214), np.float64(-81.8507094860148))",0.8326197286555043,34.499937798192214,-81.8507094860148
56,"(np.float64(34.73781233333333), np.float64(-82.11927833333333))",0.2588866116323209,34.73781233333333,-82.11927833333333
57,"(np.float64(33.87097308504458), np.float64(-81.38389760470096))",0.2323221485385374,33.87097308504458,-81.38389760470096
58,"(np.float64(34.251416600000006), np.float64(-80.202524))",0.0947275978990478,34.251416600000006,-80.202524
59,"(np.float64(34.9111380625), np.float64(-82.0860529375))",0.24712735042367856,34.9111380625,-82.0860529375
60,"(np.float64(32.27374932426787), np.float64(-81.07932440969357))",0.21308441802377917,32.27374932426787,-81.07932440969357
61,"(np.float64(34.501202318181825), np.float64(-82.52106836363636))",0.14299458924521796,34.501202318181825,-82.52106836363636
62,"(np.float64(33.740976917119184), np.float64(-78.84836545947294))",0.20359750785809583,33.740976917119184,-78.84836545947294
63,"(np.float64(34.913466998202935), np.float64(-80.98123860411316))",0.2760703176766581,34.913466998202935,-80.98123860411316
64,"(np.float64(34.395577127464314), np.float64(-81.85167429131492))",0.06782672715810464,34.395577127464314,-81.85167429131492
65,"(np.float64(34.85588164418593), np.float64(-81.00890362952796))",0.223264556053243,34.85588164418593,-81.00890362952796
66,"(np.float64(33.588126014260105), np.float64(-80.35805063834093))",0.22658347831385753,33.588126014260105,-80.35805063834093
67,"(np.float64(33.8114308607754), np.float64(-78.78047519139982))",0.09462333142312676,33.8114308607754,-78.78047519139982
68,"(np.float64(34.27892006956945), np.float64(-80.9976008601826))",0.22861457401203644,34.27892006956945,-80.9976008601826
69,"(np.float64(34.699799330651366), np.float64(-81.93896070658118))",0.258016118139995,34.699799330651366,-81.93896070658118
